segment,component,variant,count,top_quartile_avg_r,top_decile_avg_r,bottom_decile_avg_r,top_quartile_win_rate,top_decile_win_rate,bottom_decile_win_rate,eqh_top_quartile_avg_r,eql_top_quartile_avg_r,eqh_top_quartile_win_rate,eql_top_quartile_win_rate,rank_corr,eqh_rank_corr,eql_rank_corr,win_rate_gap,variance_zero,stability_classification
first_half,formation_delay_component,current,233,0.3969734522088035,0.5871216222849903,-0.0852985478720909,0.5932203389830508,0.5714285714285714,0.36585365853658536,0.3146994534293916,0.4663921386789321,0.6666666666666666,0.53125,0.1929033915001406,0.18457840362208194,0.19663743971635034,0.22736668044646546,False,stable_positive
first_half,formation_delay_component,inverted,233,-0.03895998059125562,-0.0852985478720909,0.5871216222849903,0.4153846153846154,0.36585365853658536,0.5714285714285714,-0.08693026026748575,0.020589332110271454,0.4166666666666667,0.41379310344827586,-0.1929033915001406,-0.18457840362208194,-0.19663743971635034,-0.156043956043956,False,stable_negative
first_half,formation_delay_component,neutralized,233,0.05861731792418751,0.05861731792418751,0.05861731792418751,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.04299873938420967,0.07357965366836795,0.49122807017543857,0.42857142857142855,,,,0.0,False,degenerate
first_half,wick_ratio_component,current,233,0.3112664431717493,0.3173014384202918,0.020028041965068504,0.5084745762711864,0.4583333333333333,0.4583333333333333,0.17715636855695158,0.41692892620158983,0.5,0.5151515151515151,0.10245992132203723,0.06835005483965725,0.14507053906228967,0.0501412429378531,False,stable_positive
first_half,wick_ratio_component,inverted,233,-0.11205306271245663,0.020028041965068504,0.3173014384202918,0.423728813559322,0.4583333333333333,0.4583333333333333,-0.02507148480225725,-0.21514234023565598,0.5,0.3333333333333333,-0.10245992132203723,-0.06835005483965725,-0.14507053906228967,-0.0346045197740113,False,stable_negative
first_half,wick_ratio_component,neutralized,233,0.05861731792418751,0.05861731792418751,0.05861731792418751,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.04299873938420967,0.07357965366836795,0.49122807017543857,0.42857142857142855,,,,0.0,False,degenerate
first_half,atr_percentile_component,current,233,0.016815867993425278,0.068578775441974,0.18656067033578966,0.4666666666666667,0.5769230769230769,0.46153846153846156,-0.17128965829457815,0.17072038950179172,0.4444444444444444,0.48484848484848486,0.024104537010749983,-0.024267460353226602,0.06971815153628423,0.00512820512820511,False,stable_positive
first_half,atr_percentile_component,inverted,233,-0.034543684075113004,0.18656067033578966,0.068578775441974,0.40625,0.46153846153846156,0.5769230769230769,0.13008076730382165,-0.19916813545404768,0.5,0.3125,-0.024104537010749983,0.024267460353226602,-0.06971815153628423,-0.17067307692307687,False,stable_negative
first_half,atr_percentile_component,neutralized,233,0.05861731792418751,0.05861731792418751,0.05861731792418751,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.04299873938420967,0.07357965366836795,0.49122807017543857,0.42857142857142855,,,,0.0,False,degenerate
first_half,distance_at_detect_component,current,233,0.22772795906981572,0.6159267934110485,0.3322253027718056,0.5254237288135594,0.6785714285714286,0.4166666666666667,0.3284719267653805,0.13034212363076972,0.5862068965517241,0.4666666666666667,0.07646533431060626,0.10518492511171794,0.05851875153335904,0.10875706214689268,False,stable_positive
first_half,distance_at_detect_component,inverted,233,0.13150155369161623,0.3322253027718056,0.6159267934110485,0.4406779661016949,0.4166666666666667,0.6785714285714286,0.004558264526571302,0.29262188224725005,0.42424242424242425,0.46153846153846156,-0.07646533431060626,-0.10518492511171794,-0.05851875153335904,-0.2378934624697337,False,stable_negative
first_half,distance_at_detect_component,neutralized,233,0.05861731792418751,0.05861731792418751,0.05861731792418751,0.4592274678111588,0.4592274678111588,0.4592274678111588,0.04299873938420967,0.07357965366836795,0.49122807017543857,0.42857142857142855,,,,0.0,False,degenerate
second_half,width_component,current,233,0.1201188177684038,0.08663225722657668,0.24639386334493107,0.4406779661016949,0.4166666666666667,0.46511627906976744,0.2748834599412242,-0.01046384906491346,0.4444444444444444,0.4375,-0.03013945855050932,0.0043886738735238,-0.07648152845330286,-0.02443831296807253,False,stable_negative
